,Model,Avg of optimal thresholds,Threshold for Fold5 2,Avg expected loss 2,Expected loss for Fold5 2
0,M1,0.15164910910579682,0.15147896282757975,0.5882409197352023,0.5741360089186176
1,M2,0.1587683386722507,0.15946543089607096,0.5745691295016186,0.5711631363805277
2,M3,0.15525462769923076,0.15420078775273305,0.5724880358997549,0.5912300260126347
3,M4,0.16867350678347237,0.15215810338686578,0.5336986752937396,0.5354886659234486
4,M5,0.15951303707405481,0.14030620693846488,0.5232963546420487,0.5239687848383501
5,LASSO,0.1737252103470023,0.1684023950952281,0.5263426655247831,0.5325157933853586
